round,request_idx,pool_idx,source,prompt_len,generated_tokens,inject_time_s,is_warmup,request_id
0,0,0,python_code,50,12000,0.0,True,stream_140379687286624_0_14161875547267406
0,1,1,WizardLM,14,12000,0.0,True,stream_140379687286624_1_14161875547607082
0,2,2,python_code,50,4377,0.0,True,stream_140379687286624_2_14161875547696571
0,3,3,WizardLM,82,1781,0.0,True,stream_140379687286624_3_14161875547775524
0,4,4,python_code,13,12000,0.0,True,stream_140379687286624_4_14161875547854348
0,5,5,python_code,47,12000,0.0,True,stream_140379687286624_5_14161875547925712
0,6,6,python_code,15,12000,0.0,True,stream_140379687286624_6_14161875547997317
0,7,7,LongForm,395,1793,0.0,True,stream_140379687286624_7_14161875548072468
0,8,8,WizardLM,140,12000,0.0,True,stream_140379687286624_8_14161875548163310
0,9,9,LongForm,14,12000,0.0,True,stream_140379687286624_9_14161875548237609
0,10,10,LongForm,12,3315,0.0,True,stream_140379687286624_10_14161875548304065
0,11,11,python_code,14,12000,0.0,True,stream_140379687286624_11_14161875548370228
0,12,12,WizardLM,133,12000,0.0,True,stream_140379687286624_12_14161875548434919
0,13,13,python_code,18,12000,0.0,True,stream_140379687286624_13_14161875548506179
0,14,14,python_code,50,12000,0.0,True,stream_140379687286624_14_14161875548569125
0,15,15,WizardLM,154,3666,0.0,True,stream_140379687286624_15_14161875548634371
0,16,16,WizardLM,16,1049,0.0,True,stream_140379687286624_16_14161875548857019
0,17,17,WizardLM,66,12000,0.0,True,stream_140379687286624_17_14161875548946617
0,18,18,LongForm,15,12000,0.0,True,stream_140379687286624_18_14161875549019862
0,19,19,LongForm,263,2642,0.0,True,stream_140379687286624_19_14161875549085476
0,20,0,python_code,50,12000,0.0,False,stream_140379687286624_20_14161875764856742
0,21,1,WizardLM,14,12000,2.05,False,stream_140379687286624_21_14161877813084655
0,22,2,python_code,50,12000,4.03,False,stream_140379687286624_22_14161879797027965
0,23,3,WizardLM,82,12000,6.02,False,stream_140379687286624_23_14161881781753876
0,24,4,python_code,13,12000,8.04,False,stream_140379687286624_24_14161883803306105
0,25,5,python_code,47,1015,10.02,False,stream_140379687286624_25_14161885788998106
0,26,6,python_code,15,12000,12.04,False,stream_140379687286624_26_14161887808087731
0,27,7,LongForm,395,1158,14.0,False,stream_140379687286624_27_14161889767071453
0,28,8,WizardLM,140,12000,16.0,False,stream_140379687286624_28_14161891768021184
0,29,9,LongForm,14,876,18.03,False,stream_140379687286624_29_14161893790457579
0,30,10,LongForm,12,12000,20.01,False,stream_140379687286624_30_14161895771835566
0,31,11,python_code,14,12000,22.02,False,stream_140379687286624_31_14161897781198557
0,32,12,WizardLM,133,12000,24.04,False,stream_140379687286624_32_14161899801569157
0,33,13,python_code,18,12000,26.04,False,stream_140379687286624_33_14161901803943704
0,34,14,python_code,50,12000,28.05,False,stream_140379687286624_34_14161903813560018
0,35,15,WizardLM,154,12000,30.01,False,stream_140379687286624_35_14161905778479300
0,36,16,WizardLM,16,856,32.02,False,stream_140379687286624_36_14161907785010293
0,37,17,WizardLM,66,12000,34.03,False,stream_140379687286624_37_14161909798874033
0,38,18,LongForm,15,12000,36.03,False,stream_140379687286624_38_14161911795394580
0,39,19,LongForm,263,12000,38.04,False,stream_140379687286624_39_14161913808737099
0,40,0,python_code,50,12000,40.02,False,stream_140379687286624_40_14161915787268493
0,41,1,WizardLM,14,12000,42.04,False,stream_140379687286624_41_14161917805696711
0,42,2,python_code,50,12000,44.05,False,stream_140379687286624_42_14161919815734564
0,43,3,WizardLM,82,12000,46.01,False,stream_140379687286624_43_14161921775879117
0,44,4,python_code,13,12000,48.04,False,stream_140379687286624_44_14161923801553405
0,45,5,python_code,47,12000,50.0,False,stream_140379687286624_45_14161925766435612
0,46,6,python_code,15,12000,52.02,False,stream_140379687286624_46_14161927783326190
0,47,7,LongForm,395,1432,54.0,False,stream_140379687286624_47_14161929768917356
0,48,8,WizardLM,140,12000,56.05,False,stream_140379687286624_48_14161931816165605
0,49,9,LongForm,14,12000,58.0,False,stream_140379687286624_49_14161933768656328
0,50,10,LongForm,12,12000,60.05,False,stream_140379687286624_50_14161935811061043
0,51,11,python_code,14,12000,62.03,False,stream_140379687286624_51_14161937794685138
0,52,12,WizardLM,133,12000,64.05,False,stream_140379687286624_52_14161939812229000
0,53,13,python_code,18,12000,66.01,False,stream_140379687286624_53_14161941771367561
0,54,14,python_code,50,12000,68.05,False,stream_140379687286624_54_14161943816856821
0,55,15,WizardLM,154,4299,70.03,False,stream_140379687286624_55_14161945798917234
0,56,16,WizardLM,16,945,72.02,False,stream_140379687286624_56_14161947786705220
0,57,17,WizardLM,66,12000,74.0,False,stream_140379687286624_57_14161949768176765
0,58,18,LongForm,15,12000,76.06,False,stream_140379687286624_58_14161951820077806
0,59,19,LongForm,263,12000,78.03,False,stream_140379687286624_59_14161953797095065
0,60,0,python_code,50,1375,80.06,False,stream_140379687286624_60_14161955820881678
0,61,1,WizardLM,14,12000,82.06,False,stream_140379687286624_61_14161957821985596
